date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:42	38495/38495	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202023%2001:05:54%20GMT	https://crispinfreeman.com/	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/index.html	(from )
21:05:42	119/119	---MC-	200	added ('OK')	text/plain	date:Mon,%2025%20Sep%202023%2001:05:53%20GMT	https://crispinfreeman.com/robots.txt		(from )
21:05:42	23608/23608	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Apr%202021%2021:45:08%20GMT	https://crispinfreeman.com/wp-content/themes/Webly/style.css	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/themes/Webly/style.css	(from https://crispinfreeman.com/)
21:05:42	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2025%20Sep%202023%2001:05:54%20GMT	https://crispinfreeman.com/xmlrpc.php	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/xmlrpc.php	(from https://crispinfreeman.com/)
21:05:43	3711/3711	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202013%2019:14:36%20GMT	https://crispinfreeman.com/wp-content/plugins/haiku-minimalist-audio-player/haiku-player.css?ver=1.0.0	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/haiku-minimalist-audio-player/haiku-player8a54.css	(from https://crispinfreeman.com/)
21:05:43	880/880	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2016%20Apr%202021%2021:44:14%20GMT	https://crispinfreeman.com/feed/	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/feed/index.html	(from https://crispinfreeman.com/)
21:05:43	88932/88932	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Sep%202022%2021:25:14%20GMT	https://crispinfreeman.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.5	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-includes/css/dist/block-library/style.min52c7.css	(from https://crispinfreeman.com/)
21:05:43	574/574	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Sep%202022%2021:25:31%20GMT	https://crispinfreeman.com/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.min.css?ver=5.184	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.min5064.css	(from https://crispinfreeman.com/)
21:05:43	35981/35981	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Apr%202021%2021:45:08%20GMT	https://crispinfreeman.com/wp-content/themes/Webly/epanel/shortcodes/css/shortcodes-legacy.css?ver=3.5.13	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/themes/Webly/epanel/shortcodes/css/shortcodes-legacy33d3.css	(from https://crispinfreeman.com/)
21:05:43	11407/11407	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202018%2016:44:22%20GMT	https://crispinfreeman.com/wp-content/plugins/media-element-html5-video-and-audio-player/mediaelement/v4/mediaelementplayer.min.css?ver=6.0.5	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/media-element-html5-video-and-audio-player/mediaelement/v4/mediaelementplayer.min52c7.css	(from https://crispinfreeman.com/)
21:05:44	11256/11256	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202018%2016:44:22%20GMT	https://crispinfreeman.com/wp-content/plugins/media-element-html5-video-and-audio-player/mediaelement/v4/mediaelementplayer-legacy.min.css?ver=6.0.5	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/media-element-html5-video-and-audio-player/mediaelement/v4/mediaelementplayer-legacy.min52c7.css	(from https://crispinfreeman.com/)
21:05:44	7976/7976	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Apr%202021%2021:45:08%20GMT	https://crispinfreeman.com/wp-content/themes/Webly/includes/page_templates/js/magnific_popup/magnific_popup.css?ver=1.3.4	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/themes/Webly/includes/page_templates/js/magnific_popup/magnific_popupc412.css	(from https://crispinfreeman.com/)
21:05:44	4450/4450	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2022%20Feb%202023%2010:43:20%20GMT	https://crispinfreeman.com/comments/feed/	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/comments/feed/index.html	(from https://crispinfreeman.com/)
21:05:44	8798/8798	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Apr%202021%2021:45:08%20GMT	https://crispinfreeman.com/wp-content/themes/Webly/includes/page_templates/page_templates.css?ver=1.8	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/themes/Webly/includes/page_templates/page_templates4b1d.css	(from https://crispinfreeman.com/)
21:05:44	89521/89521	---M--	200	added ('OK')	application/javascript	date:Wed,%2014%20Sep%202022%2021:25:13%20GMT	https://crispinfreeman.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://crispinfreeman.com/)
21:05:44	11224/11224	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Apr%202021%2021:29:09%20GMT	https://crispinfreeman.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://crispinfreeman.com/)
21:05:45	11898/11898	---M--	200	added ('OK')	application/javascript	date:Tue,%2008%20Nov%202022%2005:25:05%20GMT	https://crispinfreeman.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.10.0	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min9e64.js	(from https://crispinfreeman.com/)
21:05:45	33096/33096	---M--	200	added ('OK')	application/javascript	date:Wed,%2014%20Sep%202022%2021:25:31%20GMT	https://crispinfreeman.com/wp-content/plugins/cleantalk-spam-protect/js/apbct-public-bundle.min.js?ver=5.184	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/cleantalk-spam-protect/js/apbct-public-bundle.min5064.js	(from https://crispinfreeman.com/)
21:05:45	1663/1663	---M--	200	added ('OK')	application/javascript	date:Wed,%2014%20Sep%202022%2021:25:36%20GMT	https://crispinfreeman.com/wp-content/plugins/html5-audio-player/js/inline-player.js?ver=2.1.10	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/html5-audio-player/js/inline-player6176.js	(from https://crispinfreeman.com/)
21:05:45	158159/158159	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Jan%202018%2016:44:22%20GMT	https://crispinfreeman.com/wp-content/plugins/media-element-html5-video-and-audio-player/mediaelement/v4/mediaelement-and-player.min.js?ver=4.2.8	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/media-element-html5-video-and-audio-player/mediaelement/v4/mediaelement-and-player.minc82e.js	(from https://crispinfreeman.com/)
21:05:45	822/822	---M--	200	added ('OK')	text/xml	date:Mon,%2025%20Sep%202023%2001:05:58%20GMT	https://crispinfreeman.com/xmlrpc.php?rsd	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/xmlrpc0db0.php	(from https://crispinfreeman.com/)
21:05:46	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Mon,%2025%20Sep%202023%2001:05:58%20GMT	https://crispinfreeman.com/wp-includes/wlwmanifest.xml	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-includes/wlwmanifest.html	(from https://crispinfreeman.com/)
21:05:46	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Sep%202023%2001:05:58%20GMT	https://crispinfreeman.com/wp-content/plugins/haiku-minimalist-audio-player/js	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/haiku-minimalist-audio-player/js	(from https://crispinfreeman.com/)
21:05:46	172958/172958	---MC-	200	added ('OK')	application/json	date:Mon,%2025%20Sep%202023%2001:05:58%20GMT	https://crispinfreeman.com/wp-json/	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-json/index.html	(from https://crispinfreeman.com/)
21:05:46	92400/92400	---M--	200	added ('OK')	font/ttf	date:Fri,%2016%20Apr%202021%2021:45:08%20GMT	https://crispinfreeman.com/wp-content/themes/Webly/core/admin/fonts/modules.ttf	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/themes/Webly/core/admin/fonts/modules.ttf	(from https://crispinfreeman.com/)
21:05:46	189103/189103	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Sep%202012%2003:08:36%20GMT	https://crispinfreeman.com/wp-content/uploads/2012/05/Crispin-Freeman-VO-Logo-Color-Web-v2.png	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/uploads/2012/05/Crispin-Freeman-VO-Logo-Color-Web-v2.png	(from https://crispinfreeman.com/)
21:05:47	1483/1483	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202023%2001:05:59%20GMT	https://crispinfreeman.com/wp-content/plugins/haiku-minimalist-audio-player/js/	C:/Users/Ted/Downloads/crispin/crispin/crispinfreeman.com/wp-content/plugins/haiku-minimalist-audio-player/js/index.html	(from https://crispinfreeman.com/)
